X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
session bn:03751534n ; 0 ; 0.031746 ; 0.0357143 ; 0 ; 0 ; 0 ; 0
temps bn:00077270n ; 0 ; 0.207792 ; 0.228571 ; 0.242424 ; 0.25 ; 0 ; 0.25
visiteur bn:03106425n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0.0425532 ; 0
adresse ip bn:00706454n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
ip bn:00046704n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
réutilisation bn:02823226n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
entité bn:00031027n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
entité html bn:01327413n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0.04
afficher bn:00087013v ; 0 ; 0.031746 ; 0 ; 0.0384615 ; 0 ; 0 ; 0
comportement bn:00009657n ; 0 ; 0.0615385 ; 0 ; 0.0740741 ; 0 ; 0 ; 0.0769231
trim bn:00074703n ; 0 ; 0.0615385 ; 0.0689655 ; 0 ; 0 ; 0 ; 0.0769231
séquence bn:00070574n ; 0 ; 0.0615385 ; 0 ; 0 ; 0 ; 0.0816327 ; 0.0769231
bcd bn:16690020n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
unset bn:00176172n ; 0 ; 0.0615385 ; 0 ; 0.0740741 ; 0 ; 0 ; 0.0769231
vrai bn:00078452n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
disponible bn:00097846a ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0.0425532 ; 0
vides bn:00030635n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
possibles bn:00108829a ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
id bn:03885719n ; 0 ; 0.031746 ; 0 ; 0 ; 0 ; 0.0425532 ; 0
essayer bn:00082844v ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
impossible bn:00104687a ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
mp4 bn:03619211n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
